marca,modelo,version,motor,nafta,precio,moneda,año,kms,awd,manual,id ml,link
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,19800,USD,2008,198000 km,1,0,MLA1428858488,https://auto.mercadolibre.com.ar/MLA-1428858488-toyota-sw4-2008-30-i-srv-at-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),3 L,0,7500000,ARS,2008,250000 km,1,1,MLA1433074442,https://auto.mercadolibre.com.ar/MLA-1433074442-toyota-sw4-2008-30-i-srv-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv 4x4 (2009),2982 cc,0,9800000,ARS,2008,206000 km,1,1,MLA1371787045,https://auto.mercadolibre.com.ar/MLA-1371787045-toyota-sw4-2008-30-i-srv-4x4-2009-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),2982 cc,0,22000,USD,2010,196214 km,1,1,MLA1407853176,https://auto.mercadolibre.com.ar/MLA-1407853176-toyota-sw4-2010-30-i-srv-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),2982 cc,0,19500,USD,2009,175000 km,1,1,MLA1419622826,https://auto.mercadolibre.com.ar/MLA-1419622826-toyota-sw4-30-tdi-4x4-srv-cuero-caja-manual-7-asientos-2009-_JM
toyota,sw4,3.0 I Srv 4x4 (2009),3 L,0,23500,USD,2011,152000 km,1,1,MLA1433800720,https://auto.mercadolibre.com.ar/MLA-1433800720-toyota-sw4-2011-30-i-srv-4x4-2009-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),3 L,0,19000,USD,2008,145000 km,1,1,MLA1372947347,https://auto.mercadolibre.com.ar/MLA-1372947347-toyota-sw4-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),2982 cc,0,8500000,ARS,2010,300000 km,1,1,MLA1370780645,https://auto.mercadolibre.com.ar/MLA-1370780645-toyota-sw4-2010-30-i-srv-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,10000000,ARS,2010,177000 km,1,0,MLA1307038757,https://auto.mercadolibre.com.ar/MLA-1307038757-toyota-sw4-2010-30-i-srv-at-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv 4x4 (2009),2982 cc,0,9700000,ARS,2008,200000 km,1,1,MLA1434965792,https://auto.mercadolibre.com.ar/MLA-1434965792-toyota-sw4-2008-30-i-srv-4x4-2009-_JM
toyota,sw4,3.0 I Srv 4x4 (2009),2982 cc,0,23500,USD,2010,200000 km,1,1,MLA1355797530,https://auto.mercadolibre.com.ar/MLA-1355797530-toyota-sw4-2010-30-i-srv-4x4-2009-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,24500,USD,2010,223000 km,1,0,MLA1373770137,https://auto.mercadolibre.com.ar/MLA-1373770137-toyota-sw4-2010-30-i-srv-at-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,24900,USD,2011,350000 km,1,0,MLA1363114266,https://auto.mercadolibre.com.ar/MLA-1363114266-toyota-sw4-2011-30-i-srv-at-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,21500,USD,2009,176000 km,1,0,MLA1372056242,https://auto.mercadolibre.com.ar/MLA-1372056242-toyota-hilux-sw4-4x4-automatica-srv-pack-7-asientos-ano-2009-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),3 L,0,9000000,ARS,2008,320000 km,1,0,MLA1373145449,https://auto.mercadolibre.com.ar/MLA-1373145449-toyota-sw4-2008-30-i-srv-at-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv 4x4 (2009),2982 cc,0,18500,USD,2008,275000 km,1,1,MLA1419141636,https://auto.mercadolibre.com.ar/MLA-1419141636-toyota-sw4-2008-30-i-srv-4x4-2009-_JM
toyota,sw4,HILUX SW4 4X4 SRV 3.0 TDI C/CUERO,2982 cc,0,21800,USD,2009,110000 km,1,1,MLA1416609676,https://auto.mercadolibre.com.ar/MLA-1416609676-toyota-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),2982 cc,0,19100,USD,2008,200000 km,1,1,MLA1414096290,https://auto.mercadolibre.com.ar/MLA-1414096290-toyota-sw4-2008-30-i-srv-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,20500,USD,2009,115000 km,1,0,MLA1372544185,https://auto.mercadolibre.com.ar/MLA-1372544185-toyota-sw4-2009-30-i-srv-at-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,9400000,ARS,2009,268604 km,1,0,MLA1362592011,https://auto.mercadolibre.com.ar/MLA-1362592011-toyota-hilux-sw4-srv-30-tdi-at-ccuero-ano-2009-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),2982 cc,0,22900,USD,2010,143000 km,1,1,MLA1410693322,https://auto.mercadolibre.com.ar/MLA-1410693322-toyota-sw4-2010-30-i-srv-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),2982 cc,0,22500,USD,2010,185000 km,1,1,MLA1420686370,https://auto.mercadolibre.com.ar/MLA-1420686370-toyota-sw4-2010-30-i-srv-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,9000000,ARS,2009,283000 km,1,0,MLA1363206105,https://auto.mercadolibre.com.ar/MLA-1363206105-toyota-sw4-2009-30-i-srv-at-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv 4x4 (2009),3 L,0,18500,USD,2008,218000 km,1,1,MLA1431415994,https://auto.mercadolibre.com.ar/MLA-1431415994-toyota-sw4-2008-30-i-srv-4x4-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,21000,USD,2009,321000 km,1,0,MLA1421811614,https://auto.mercadolibre.com.ar/MLA-1421811614-toyota-sw4-srv-7-plazas-cuero-c-autom-2009-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),2982 cc,0,19900,USD,2010,215000 km,1,1,MLA1371257299,https://auto.mercadolibre.com.ar/MLA-1371257299-toyota-sw4-30-srv-4x4-manual-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,9300000,ARS,2008,260000 km,1,0,MLA1369343165,https://auto.mercadolibre.com.ar/MLA-1369343165-toyota-sw4-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),2982 cc,0,19000,USD,2009,270000 km,1,1,MLA1434412126,https://auto.mercadolibre.com.ar/MLA-1434412126-toyota-sw4-2009-30-i-srv-c-cuero-4x4-7-asientos-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,18900,USD,2009,270000 km,1,0,MLA1420559358,https://auto.mercadolibre.com.ar/MLA-1420559358-toyota-sw4-srv-30-at-ano-2009-usadosvremy-_JM
toyota,sw4,Srv 4x4 3.0 manual,2982 cc,0,18500,USD,2009,220000 km,1,0,MLA1372348119,https://auto.mercadolibre.com.ar/MLA-1372348119-toyota-hilux-sw4-srv-4x4-30-manual-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,24000,USD,2008,171000 km,1,0,MLA1422239650,https://auto.mercadolibre.com.ar/MLA-1422239650-toyota-sw4-2008-30-i-srv-at-ccuero-4x4-2009-_JM
toyota,sw4,SRV manual 7 asiento,2982 cc,0,11000000,ARS,2009,220000 km,1,0,MLA1435639700,https://auto.mercadolibre.com.ar/MLA-1435639700-toyota-hilux-sw4-srv-manual-7-asiento-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,24700,USD,2010,229000 km,1,0,MLA1428463010,https://auto.mercadolibre.com.ar/MLA-1428463010-toyota-sw4-2010-229000km-ccuero-automatica-serv-ofi-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,26000,USD,2010,245000 km,1,0,MLA1371313215,https://auto.mercadolibre.com.ar/MLA-1371313215-toyota-sw4-2010-30-i-srv-at-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),2982 cc,0,7900000,ARS,2008,272000 km,1,1,MLA1432289830,https://auto.mercadolibre.com.ar/MLA-1432289830-toyota-sw4-2008-30-i-srv-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,18500,USD,2008,257000 km,1,0,MLA1372332411,https://auto.mercadolibre.com.ar/MLA-1372332411-toyota-sw4-2008-30-i-srv-at-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,21000,USD,2008,285000 km,1,0,MLA1432814052,https://auto.mercadolibre.com.ar/MLA-1432814052-toyota-hilux-sw4-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),2982 cc,0,20000,USD,2011,260000 km,1,1,MLA1425261946,https://auto.mercadolibre.com.ar/MLA-1425261946-toyota-sw4-2011-30-i-srv-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv 4x4 (2009),2982 cc,0,17500,USD,2008,260000 km,1,1,MLA1429228274,https://auto.mercadolibre.com.ar/MLA-1429228274-toyota-sw4-2008-30-i-srv-4x4-2009-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),2982 cc,0,25000,USD,2009,153000 km,1,1,MLA1372910479,https://auto.mercadolibre.com.ar/MLA-1372910479-toyota-sw4-2009-30-i-srv-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),3 L,0,19000,USD,2008,230000 km,1,1,MLA1373302079,https://auto.mercadolibre.com.ar/MLA-1373302079-toyota-sw4-2008-30-i-srv-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),3 L,0,19500,USD,2008,290000 km,1,1,MLA1374499621,https://auto.mercadolibre.com.ar/MLA-1374499621-toyota-sw4-2008-30-i-srv-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),3 L,0,23000,USD,2010,270000 km,1,1,MLA1373503561,https://auto.mercadolibre.com.ar/MLA-1373503561-toyota-sw4-2010-30-i-srv-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),2982 cc,0,26000,USD,2011,150800 km,1,1,MLA1428716054,https://auto.mercadolibre.com.ar/MLA-1428716054-toyota-sw4-_JM
toyota,sw4,3.0 I Srv 4x4 (2009),2982 cc,0,23500,USD,2008,90000 km,1,1,MLA1371867827,https://auto.mercadolibre.com.ar/MLA-1371867827-toyota-sw4-2008-30-i-srv-4x4-2009-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,23000,USD,2011,185000 km,1,0,MLA1437393884,https://auto.mercadolibre.com.ar/MLA-1437393884-toyota-sw4-2011-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),3 L,0,26900,USD,2010,188000 km,1,0,MLA1432010084,https://auto.mercadolibre.com.ar/MLA-1432010084-toyota-sw4-2010-30-i-srv-at-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,22500,USD,2009,215000 km,1,0,MLA1435278776,https://auto.mercadolibre.com.ar/MLA-1435278776-toyota-sw4-at-7asientos-_JM
toyota,sw4,3.0 I Srv 4x4 (2009),2982 cc,0,25000,USD,2009,160000 km,1,1,MLA1372456237,https://auto.mercadolibre.com.ar/MLA-1372456237-toyota-sw4-2009-30-i-srv-4x4-2009-_JM
toyota,sw4,3.0 srv 2010,2982 cc,0,24500,USD,2010,265000 km,1,1,MLA1373022737,https://auto.mercadolibre.com.ar/MLA-1373022737-toyota-sw4-30-srv-2010-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),3 L,0,19000,USD,2010,240000 km,1,1,MLA1373131019,https://auto.mercadolibre.com.ar/MLA-1373131019-toyota-sw4-2010-30-i-srv-ccuero-4x4-2009-_JM
toyota,sw4,Srv,3 L,0,18500,USD,2009,200000 km,1,1,MLA1371097831,https://auto.mercadolibre.com.ar/MLA-1371097831-toyota-hilux-sw4-srv-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),3 L,0,22300,USD,2008,275000 km,1,0,MLA1373283925,https://auto.mercadolibre.com.ar/MLA-1373283925-toyota-sw4-2008-excelente-_JM
toyota,sw4,3.0 I Srv 4x4 (2009),2982 cc,0,20000,USD,2009,255000 km,1,1,MLA1425817162,https://auto.mercadolibre.com.ar/MLA-1425817162-toyota-sw4-2009-4x4-7-asientos-_JM
toyota,sw4,3.0 I Srv C/cuero 4x4 (2009),2982 cc,0,25000,USD,2008,200000 km,1,1,MLA1429792370,https://auto.mercadolibre.com.ar/MLA-1429792370-toyota-sw4-2008-30-i-srv-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,18000,USD,2008,280000 km,1,0,MLA1425258536,https://auto.mercadolibre.com.ar/MLA-1425258536-toyota-sw4-2008-30-i-srv-at-ccuero-4x4-2009-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),2982 cc,0,8000000,ARS,2008,400000 km,1,0,MLA1435781500,https://auto.mercadolibre.com.ar/MLA-1435781500-toyota-sw4-2008-autom-ccuero-_JM
toyota,sw4,3.0 I Srv 4x4 (2009),2982 cc,0,15500,USD,2009,380000 km,1,1,MLA1373704813,https://auto.mercadolibre.com.ar/MLA-1373704813-toyota-sw4-2009-30-i-srv-4x4-2009-_JM
toyota,sw4,SW4,2982 cc,0,24000,USD,2009,195000 km,1,1,MLA1434742556,https://auto.mercadolibre.com.ar/MLA-1434742556-toyota-hilux-sw4-sw4-_JM
toyota,sw4,Sw4 2009 at 7 asient,2982 cc,0,23000,USD,2009,260000 km,1,1,MLA1435911520,https://auto.mercadolibre.com.ar/MLA-1435911520-toyota-hilux-sw4-sw4-2009-at-7-asient-_JM
toyota,sw4,3.0 I Srv At C/cuero 4x4 (2009),3 L,0,22000,USD,2009,191000 km,1,0,MLA1435280312,https://auto.mercadolibre.com.ar/MLA-1435280312-toyota-sw4-2009-30-i-srv-at-ccuero-4x4-2009-_JM
